content_completed,content_required,checklist_completed,quiz_completed,total_quiz_attempts,discussion_post_created,discussion_post_replies,discussion_post_read,number_of_assignment_submissions,total_time_spent_in_content,number_of_logins_to_the_system,term,pseudo_course,gender,imm_status,age,total_course_count,course_count_by_term,completion_ratio,logins_per_course,avg_time_per_login,avg_time_by_completed_content,at_risk
112,124,0,0,0,0,0,0,14,12195,754,F,course_325,F,international,29,13,7.0,0.9032258064516129,58.0,210.25862068965517,108.88392857142857,0
111,117,0,7,10,0,0,0,0,20306,2949,F,course_26,F,domestic,40,4,2.0,0.9487179487179487,737.25,27.542895896914207,182.93693693693695,0
110,140,0,0,0,0,0,0,0,22680,5537,W,course_44,M,domestic,26,7,6.0,0.7857142857142857,791.0,28.672566371681416,206.1818181818182,0
109,174,0,0,0,0,0,0,0,49313,2061,F,course_9,F,domestic,25,13,5.0,0.6264367816091954,158.53846153846155,311.04754973313925,452.41284403669727,0
108,110,0,5,5,1,0,0,9,23324,808,F,course_347,M,international,25,11,6.0,0.9818181818181818,73.45454545454545,317.529702970297,215.96296296296296,0
108,149,0,0,0,4,17,74,2,3983,1541,F,course_195,M,international,24,8,7.0,0.7248322147651006,192.625,20.677482154445165,36.879629629629626,0
107,124,0,0,0,0,0,0,11,14483,942,F,course_325,M,international,23,11,6.0,0.8629032258064516,85.63636363636364,169.1220806794055,135.3551401869159,0
107,110,0,5,5,2,0,1,5,3957,1400,F,course_347,M,international,26,11,6.0,0.9727272727272728,127.27272727272727,31.090714285714288,36.981308411214954,0
107,158,0,11,15,0,0,2,1,6915,556,F,course_354,M,international,25,12,6.0,0.6772151898734177,46.333333333333336,149.24460431654674,64.62616822429906,0
106,158,0,11,17,0,0,3,1,35438,519,F,course_354,M,international,27,12,6.0,0.6708860759493671,43.25,819.3757225433526,334.3207547169811,0
105,124,0,12,14,0,0,0,9,39725,303,F,course_170,F,domestic,22,6,6.0,0.8467741935483871,50.5,786.6336633663366,378.3333333333333,0
105,158,0,11,17,0,0,6,1,17617,1051,F,course_354,M,international,38,12,6.0,0.6645569620253164,87.58333333333333,201.1455756422455,167.78095238095239,0
105,137,0,0,0,0,0,0,0,28973,1140,F,course_193,F,domestic,20,10,5.0,0.7664233576642335,114.0,254.14912280701753,275.93333333333334,0
104,104,0,7,14,0,0,0,3,71461,1300,F,course_206,F,domestic,27,19,10.0,1.0,68.42105263157895,1044.43,687.125,0
104,158,0,11,16,0,2,3,1,5218,828,F,course_354,M,international,27,12,6.0,0.6582278481012658,69.0,75.6231884057971,50.17307692307692,0
104,124,0,13,16,0,0,0,11,30067,599,F,course_170,M,domestic,19,13,6.0,0.8387096774193549,46.07692307692308,652.5392320534223,289.1057692307692,0
104,104,0,7,12,0,0,0,2,53299,1927,F,course_206,F,domestic,29,15,6.0,1.0,128.46666666666667,414.8858329008822,512.4903846153846,0
104,104,0,8,15,0,0,0,3,59126,1882,F,course_206,F,domestic,21,19,10.0,1.0,99.05263157894737,596.9149840595112,568.5192307692307,0
103,103,0,0,0,2,1,17,26,13953,433,F,course_325,M,international,27,13,6.0,1.0,33.30769230769231,418.91224018475754,135.46601941747574,0
103,106,0,3,3,0,0,0,6,5564,689,F,course_103,F,domestic,37,21,7.0,0.9716981132075472,32.80952380952381,169.58490566037736,54.019417475728154,0
102,158,0,10,14,0,0,4,2,4720,1170,F,course_354,M,international,30,12,6.0,0.6455696202531646,97.5,48.41025641025641,46.27450980392157,0
102,140,0,0,0,0,0,0,0,143469,3646,W,course_44,F,domestic,22,5,5.0,0.7285714285714285,729.2,196.74849149753152,1406.5588235294117,0
102,140,0,0,0,0,0,0,0,124436,3809,W,course_44,F,domestic,24,5,5.0,0.7285714285714285,761.8,163.34470989761093,1219.9607843137255,0
101,110,0,0,0,0,0,0,0,1123,1400,F,course_348,M,international,26,11,6.0,0.9181818181818182,127.27272727272727,8.823571428571428,11.118811881188119,0
101,110,0,0,0,0,0,0,0,4243,808,F,course_348,M,international,25,11,6.0,0.9181818181818182,73.45454545454545,57.76361386138614,42.00990099009901,0
101,101,0,0,0,2,0,0,18,10691,808,F,course_325,M,international,25,11,6.0,1.0,73.45454545454545,145.54579207920793,105.85148514851485,0
101,174,0,0,0,0,0,0,0,12601,2949,F,course_9,F,domestic,40,4,2.0,0.5804597701149425,737.25,17.09189555781621,124.76237623762377,1
101,110,0,3,3,0,0,0,9,8449,689,F,course_105,F,domestic,37,21,7.0,0.9181818181818182,32.80952380952381,257.5166908563135,83.65346534653466,0
101,103,0,0,0,0,0,0,11,18176,924,F,course_325,F,international,26,13,6.0,0.9805825242718447,71.07692307692308,255.7229437229437,179.96039603960395,0
100,117,0,0,0,0,0,0,19,17355,821,F,course_325,F,international,24,13,7.0,0.8547008547008547,63.15384615384615,274.80511571254567,173.55,0
100,158,0,11,12,1,0,5,1,3234,576,F,course_354,M,international,25,12,6.0,0.6329113924050633,48.0,67.375,32.34,0
100,149,0,0,0,3,18,45,14,1043,1017,F,course_195,M,international,26,8,7.0,0.6711409395973155,127.125,8.204523107177975,10.43,0
99,117,0,7,16,0,0,0,0,65902,587,F,course_26,M,domestic,45,8,4.0,0.8461538461538461,73.375,898.1533219761499,665.6767676767677,0
99,174,0,0,0,0,0,0,0,10015,1281,F,course_9,F,international,28,4,4.0,0.5689655172413793,320.25,31.272443403590945,101.16161616161617,1
99,101,0,0,0,0,0,0,14,17819,665,F,course_325,M,international,27,11,6.0,0.9801980198019802,60.45454545454545,294.7503759398496,179.989898989899,0
99,115,0,3,3,0,0,0,10,8557,198,F,course_102,F,domestic,43,13,7.0,0.8608695652173913,15.23076923076923,561.8232323232323,86.43434343434343,0
99,101,0,0,0,0,0,2,11,16407,1400,F,course_325,M,international,26,11,6.0,0.9801980198019802,127.27272727272727,128.91214285714287,165.72727272727272,0
98,124,0,13,14,0,0,0,12,35937,735,F,course_170,M,international,38,13,6.0,0.7903225806451613,56.53846153846154,635.6204081632653,366.7040816326531,0
98,124,0,13,15,0,0,0,11,19057,1154,F,course_170,F,domestic,29,13,6.0,0.7903225806451613,88.76923076923077,214.68024263431542,194.4591836734694,0
98,122,0,7,8,0,0,0,0,5871,751,F,course_317,M,international,26,7,6.0,0.8032786885245902,107.28571428571429,54.72303595206391,59.90816326530612,0
97,101,0,0,0,1,0,2,19,2371,2692,F,course_325,M,international,39,11,6.0,0.9603960396039604,244.72727272727272,9.688335809806835,24.443298969072163,0
97,159,0,3,3,10,0,2,11,22979,1096,F,course_55,F,international,30,11,5.0,0.610062893081761,99.63636363636364,230.62864963503648,236.89690721649484,0
